"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Pivotable date"
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-10,7990,monthly,481762,2017-10-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2017-11,148,monthly,436369,2017-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-11,7629,monthly,476290,2017-11-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2017-12,105,monthly,432065,2017-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-12,7883,monthly,476848,2017-12-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2018-01,86,monthly,429568,2018-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-01,6584,monthly,479772,2018-01-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2018-02,101,monthly,427626,2018-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-02,6386,monthly,477860,2018-02-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2018-03,121,monthly,437835,2018-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-03,7350,monthly,472357,2018-03-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2018-04,85,monthly,440511,2018-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-04,6511,monthly,477253,2018-04-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2018-05,82,monthly,439056,2018-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-05,6980,monthly,478485,2018-05-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2018-06,124,monthly,435934,2018-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-06,8135,monthly,479931,2018-06-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2018-07,128,monthly,441781,2018-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-07,8303,monthly,484724,2018-07-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2018-08,137,monthly,446849,2018-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-08,8975,monthly,479550,2018-08-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2018-09,111,monthly,443276,2018-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-09,7636,monthly,476545,2018-09-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2018-10,116,monthly,441356,2018-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-10,7956,monthly,480057,2018-10-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2018-11,134,monthly,442765,2018-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-11,8130,monthly,474347,2018-11-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2018-12,122,monthly,449219,2018-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-12,6957,monthly,473252,2018-12-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2019-01,81,monthly,441487,2019-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-01,6031,monthly,470067,2019-01-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2019-02,93,monthly,429639,2019-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-02,5967,monthly,466068,2019-02-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2019-03,115,monthly,419765,2019-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-03,6875,monthly,464162,2019-03-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2019-04,92,monthly,424701,2019-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-04,6063,monthly,469537,2019-04-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2019-05,99,monthly,428894,2019-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-05,6815,monthly,463628,2019-05-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2019-06,125,monthly,432809,2019-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-06,6991,monthly,470519,2019-06-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2019-07,132,monthly,430264,2019-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-07,8275,monthly,478505,2019-07-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2019-08,150,monthly,434499,2019-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-08,8797,monthly,472729,2019-08-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2019-09,116,monthly,442044,2019-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-09,7586,monthly,477146,2019-09-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2019-10,115,monthly,445665,2019-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-10,7901,monthly,472668,2019-10-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2019-11,115,monthly,435891,2019-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-11,7825,monthly,468817,2019-11-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2019-12,111,monthly,431849,2019-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-12,7096,monthly,479031,2019-12-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2020-01,94,monthly,429180,2020-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-01,6511,monthly,476632,2020-01-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2020-02,91,monthly,443069,2020-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-02,6245,monthly,475368,2020-02-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2020-03,92,monthly,441739,2020-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-03,6401,monthly,482748,2020-03-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2020-04,23,monthly,446280,2020-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-04,2900,monthly,473948,2020-04-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2020-05,29,monthly,434182,2020-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-05,2672,monthly,470083,2020-05-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2020-06,73,monthly,438994,2020-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-06,4031,monthly,478038,2020-06-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2020-07,74,monthly,442621,2020-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-07,5096,monthly,484709,2020-07-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2020-08,71,monthly,442754,2020-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-08,5095,monthly,492084,2020-08-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2020-09,,monthly,449194,2020-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-09,,monthly,496736,2020-09-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2020-10,,monthly,442012,2020-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-10,,monthly,490936,2020-10-01
