"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Pivotable date"
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2009-03,93,monthly,224469,2009-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-03,4097,monthly,247264,2009-03-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2009-04,95,monthly,226924,2009-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-04,4323,monthly,245351,2009-04-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2009-05,114,monthly,236799,2009-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-05,5011,monthly,249991,2009-05-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2009-06,131,monthly,242081,2009-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-06,6001,monthly,253596,2009-06-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2009-07,148,monthly,242208,2009-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-07,7900,monthly,259793,2009-07-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2009-08,138,monthly,249031,2009-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-08,7548,monthly,262076,2009-08-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2009-09,150,monthly,259444,2009-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-09,7920,monthly,267501,2009-09-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2009-10,119,monthly,260008,2009-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-10,8449,monthly,268780,2009-10-01
Cambridge,http://landregistry.data.gov.uk/id/region/cambridge,E07000008,2009-11,110,monthly,256509,2009-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2009-11,7962,monthly,266837,2009-11-01
